route_id,service_id,trip_id,trip_headsign,direction_id,block_id,shape_id
088-164,1609-Liberty-Weekday-31,9723-1387378,Outbound-PENN-GARFIELD TO BAKERY SQUARE-5TH & MCPHERSON,0,086 -296,0880071
088-164,1609-Liberty-Weekday-31,9724-1387367,Outbound-PENN-GARFIELD TO BAKERY SQUARE-5TH & MCPHERSON,0,071C-129,0880071
086-164,1609-Liberty-Weekday-31,9725-1387361,Outbound-LIBERTY WILKINSBURG VIA HOMEWOOD,0,086 -297,0860053
088-164,1609-Liberty-Weekday-31,9726-1387308,Outbound-PENN-GARFIELD TO BAKERY SQUARE-5TH & MCPHERSON,0,088 -348,0880071
086-164,1609-Liberty-Weekday-31,9727-1387373,Outbound-LIBERTY WILKINSBURG VIA HOMEWOOD,0,086 -294,0860053
088-164,1609-Liberty-Weekday-31,9728-1387370,Outbound-PENN-GARFIELD TO BAKERY SQUARE-5TH & MCPHERSON,0,088 -349,0880071
088-164,1609-Liberty-Weekday-31,9729-1387129,Outbound-PENN-GARFIELD TO BAKERY SQUARE-5TH & MCPHERSON,0,P16 -424,0880071
086-164,1609-Liberty-Weekday-31,9730-1387343,Outbound-LIBERTY WILKINSBURG VIA HOMEWOOD,0,086 -298,0860053
088-164,1609-Liberty-Weekday-31,9731-1387313,Outbound-PENN-GARFIELD TO BAKERY SQUARE-5TH & MCPHERSON,0,088 -350,0880071
086-164,1609-Liberty-Weekday-31,9732-1387353,Outbound-LIBERTY WILKINSBURG VIA HOMEWOOD,0,071D-189,0860053
088-164,1609-Liberty-Weekday-31,9733-1387453,Outbound-PENN-GARFIELD TO BAKERY SQUARE-5TH & MCPHERSON,0,088 -351,0880071
088-164,1609-Liberty-Weekday-31,9734-1387214,Outbound-PENN-GARFIELD TO BAKERY SQUARE-5TH & MCPHERSON,0,069 -063,0880071
086-164,1609-Liberty-Weekday-31,9735-1387637,Outbound-LIBERTY WILKINSBURG VIA HOMEWOOD,0,071C-141,0860053
088-164,1609-Liberty-Weekday-31,9736-1387244,Outbound-PENN-GARFIELD TO BAKERY SQUARE-5TH & MCPHERSON,0,071D-191,0880071
086-164,1609-Liberty-Weekday-31,9737-1387632,Outbound-LIBERTY WILKINSBURG VIA HOMEWOOD,0,086 -301,0860053
088-164,1609-Liberty-Weekday-31,9738-1387165,Outbound-PENN-GARFIELD TO BAKERY SQUARE-5TH & MCPHERSON,0,P71 -460,0880071
088-164,1609-Liberty-Weekday-31,9739-1387199,Outbound-PENN-GARFIELD TO BAKERY SQUARE-5TH & MCPHERSON,0,087 -325,0880071
086-164,1609-Liberty-Weekday-31,9740-1387592,Outbound-LIBERTY WILKINSBURG VIA HOMEWOOD,0,086 -304,0860053
